rcid,session,date,unres,me,nu,di,hr,co,ec
610,14,12/2/1959,R/14/746B,0,0,0,1,0,0
614,14,12/2/1959,R/14/747B,0,0,0,1,0,0
3345,43,12/4/1988,R/43/87,0,0,0,0,0,0
3840,49,12/5/1994,R/49/75F,0,1,1,0,0,0
3939,50,12/3/1995,R/50/70Q,0,1,1,0,0,0
4248,55,11/3/2000,R/55/33D,0,1,1,0,0,0
4320,56,11/6/2001,R/56/24O,0,1,1,0,0,0
4690,61,12/6/2006,R/61/70,0,1,1,0,0,0
5152,66,12/2/2011,R/66/33,0,1,1,0,0,0
5406,70,12/7/2015,R/70/28,0,1,1,0,0,0
2807,40,12/2/1985,R/40/56,0,0,0,0,1,0
4298,55,12/7/2000,R/55/146,0,0,0,0,1,0
3506,45,11/3/1990,R/45/33,0,0,0,0,1,0
2848,40,12/5/1985,R/40/94M,0,1,1,0,0,0
3330,43,12/4/1988,R/43/77B,0,0,1,0,0,0
3023,41,12/4/1986,R/41/68E,0,0,0,0,0,0
5365,69,12/18/2014,R/69/162,0,0,0,0,0,0
5446,70,12/17/2015,R/70/140,0,0,0,0,0,0
4254,55,11/3/2000,R/55/33R,0,1,1,0,0,0
4319,56,11/6/2001,R/56/24N,0,1,1,0,0,0
4391,57,11/7/2002,R/57/78,0,1,1,0,0,0
4573,59,12/3/2004,R/59/76,0,1,0,0,0,0
4503,58,12/8/2003,R/58/59,0,1,0,0,0,0
4567,59,12/3/2004,R/59/75,0,1,1,0,0,0
4466,58,12/22/2003,R/58/179,0,0,0,0,0,0
3873,49,4/3/1995,R/49/243,0,0,0,1,0,1
3372,43,12/5/1988,R/43/177,1,0,0,0,0,0
3349,43,12/5/1988,R/43/97,0,0,0,1,0,0
3183,42,12/6/1987,R/42/74,0,0,0,0,1,1
3438,44,12/2/1989,R/44/84,0,0,0,0,1,1
2805,40,12/2/1985,R/40/52,0,0,0,0,1,1
2953,41,10/6/1986,R/41/14,0,0,0,0,1,1
3265,43,11/3/1988,R/43/29,0,0,0,0,1,1
3757,48,12/6/1993,R/48/46,0,0,0,0,1,1
3503,45,11/3/1990,R/45/17,0,0,0,0,1,1
3630,46,12/4/1991,R/46/64,0,0,0,0,1,1
3821,49,12/6/1994,R/49/40,0,0,0,0,1,1
3895,50,12/4/1995,R/50/33,0,0,0,0,1,1
4027,51,12/6/1996,R/51/140,0,0,0,0,1,1
3668,47,11/2/1992,R/47/15,0,0,0,0,1,1
4632,60,12/8/2005,R/60/68,0,0,0,1,0,1
3056,41,12/5/1986,R/41/95,0,0,0,1,1,1
3348,43,12/5/1988,R/43/92,0,0,0,1,1,1
3568,45,12/6/1990,R/45/84,0,0,0,1,1,1
3658,46,12/6/1991,R/46/199,1,0,0,0,0,1
3989,51,12/3/1996,R/51/45M,0,1,1,0,0,0
3692,47,12/6/1992,R/47/63A,1,0,0,0,1,0
2901,40,12/2/1985,R/40/161F,1,0,0,0,0,0
3020,41,12/4/1986,R/41/63G,1,0,0,0,0,0
3217,42,12/3/1987,R/42/160F,1,0,0,0,0,0
3298,43,12/3/1988,R/43/58F,1,0,0,0,0,0
3429,44,12/6/1989,R/44/48F,1,0,0,0,0,0
3558,45,12/3/1990,R/45/74F,1,0,0,0,0,0
3625,46,12/2/1991,R/46/47F,1,0,0,0,0,0
3714,47,12/2/1992,R/47/70F,1,0,0,0,0,0
